palavras;repeticoes
0;1051
#MelhoresCompras;607
pt;576
de;281
o;236
1;157
não;152
que;128
08/04/2022;105
a;104
do;104
e;104
05/04/2022;100
02/04/2022;89
04/04/2022;88
06/04/2022;79
es;74
para;70
07/04/2022;69
03/04/2022;67
no;64
cartão;56
em;56
eu;56
mais;56
meu;56
um;56
2;50
01/04/2022;49
la;49
estado;48
crédito;40
O;40
sorteio;40
del;38
en;36
aceitam;32
estou;32
mas;32
MG;32
minha;32
Quero;32
se;32
10;30
18;30
abretia;30
Buenas;30
disponible;30
Estado;30
hay;30
Lara.Gracias;30
mg;30
saber;30
si;30
strattera;30
sucursal;30
tardes;30
como;28
ainda;24
aqui;24
Arrumem;24
Brasil;24
cartão!;24
com;24
da;24
E;24
essa;24
ganhar;24
hoje;24
isso;24
melhor;24
MG,;24
MG!;24
Não;24
pelo;24
prêmio;24
SP?;24
tem;24
uma;24
vão;24
con;22
3;18
agora;16
Arruma;16
Boa;16
cartao;16
Chupa;16
cidade;16
coisa;16
dois;16
erro;16
esse;16
está;16
fica;16
fui;16
ganhando!;16
já;16
me;16
#MelhoresCompras,;16
mim;16
minas;16
Minas;16
paulista;16
posso;16
Pra;16
pro;16
problema;16
processando;16
resolvido;16
Só;16
sendo;16
sou;16
SP,;16
ter;16
você;16
vocês;16
Vou;16
4;14
contra;14
por;14
ver;14
é;13
é;13
é;13
é;13
é;13
é;13
é;13
6;12
al;12
Cibeles;12
un;12
y;12
Y;12
é;10
09/04/2022;9
jmaltabes;9
vi;9
,;8
+;8
4124011533;8
4162571719;8
9;8
102.;8
2023;8
342;8
500;8
5,33728E+15;8
7h30;8
aí;8
aí!;8
A;8
abraço;8
absurdo;8
acaba;8
aceita;8
aceitando;8
acerta!;8
acesso;8
acredito!;8
adivinha,;8
agora,;8
Agora;8
agr;8
agradecer;8
Ainda;8
Ajude;8
ajudem!;8
Alemanha;8
alguém;8
alguns;8
amore!;8
Andar;8
anos;8
anotado,;8
ao;8
apaixonar;8
aplicativo;8
aplicativo.;8
app;8
aprende;8
aqui!;8
ar,;8
as;8
assim,;8
assim!;8
Assim;8
Até;8
atendimento;8
atendimento!;8
atenção;8
bagaça!;8
bebê,;8
Belo;8
bem;8
bem?;8
Bem;8
BERRO!;8
besta.;8
BH.;8
bomba!;8
BR;8
braçada!;8
bradesco;8
BRAZIL;8
Breno.;8
breve;8
BUSCO;8
Cadê;8
caindo!;8
caixa;8
cambada;8
canais;8
cara;8
CARABOBO;8
caso?;8
Chamem;8
#Chatiada!;8
#Chatiado.;8
chato,;8
clube;8
cobrado;8
começaram!;8
Comecem!;8
comigo;8
comigo.;8
como,;8
comprando;8
Comprei;8
Concordo;8
conheço;8
consegue;8
Conseguiu;8
consigo;8
Consulado;8
conta.;8
CONTACTO;8
contato;8
Correndo;8
corrigir;8
corta;8
crédito.;8
dá;8
dado;8
Deixa;8
der,;8
desisto.;8
despontou;8
devido;8
dia;8
dificuldade;8
dinheiro?;8
discreto;8
divisa;8
divulgar.;8
durante;8
e,;8
eletronico;8
EN;8
entrar;8
entraram;8
esperando;8
esperava;8
essa!;8
Esse;8
estado!;8
estado.;8
Estado,;8
ESTADO;8
estão;8
Estou;8
Eu;8
explorar;8
falar;8
falência;8
família;8
faz;8
fazer;8
fds.;8
Fenômeno;8
fiz;8
Fizemos;8
flight5752;8
Flopou;8
foi;8
Fora;8
férias;8
férias.;8
Galo;8
ganhar,;8
ganhar!;8
ganhei;8
ganhei!;8
Ganhei!;8
ganho!;8
ganhou;8
Gaspar;8
gastar;8
gente;8
gente!;8
Gerais;8
gerente;8
governador;8
Governador;8
Grrrr!;8
guita;8
ha;8
hahah;8
hahahaha;8
hein?;8
Hey;8
hoje?;8
hora;8
humilhando;8
impresso;8
incrível!;8
indignação,;8
insta;8
instabilidade;8
inteiro.;8
interior;8
irei;8
isso!;8
isso.;8
Já;8
ja;8
jabiraca!;8
justo;8
kkkkkkk;8
lá;8
lute...;8
maior;8
MAIOR;8
Mais;8
manda;8
marcando;8
Mas;8
MASTERCARD;8
mãe;8
Me;8
#MelhoresCompra;8
#MelhoresCompras!;8
#MelhoresCompras?;8
#MelhoresCompras.Senhor;8
menor;8
MESES;8
mesmo;8
mesmo!!!;8
metido;8
Meu;8
mg.;8
MG.;8
Minas,;8
minhas;8
monte;8
morando;8
morar;8
mês;8
mudar;8
muito!;8
na;8
nada;8
nada!;8
Nada;8
nadando;8
nao.;8
Nao;8
nas;8
necessário;8
nesse;8
no,;8
nojo;8
nome;8
Nossa,;8
novamente.;8
novo;8
nubank;8
Nunca;8
Obrigada;8
ObriGalo.;8
Odeio;8
ok,;8
OK,;8
olhar;8
onde;8
os;8
ou;8
Ou;8
outro;8
ouvir;8
p;8
pagarlas;8
palmeirenses;8
parte;8
participar;8
participar!;8
participar! ;8
participarrrrrrrrrrrrrrr!;8
participo!;8
passa;8
passando!;8
passear;8
PASTILLA;8
Paulista;8
paulistas;8
Paulo?;8
pela;8
Pelo;8
pelotudo,;8
Pena;8
Pense;8
percebe;8
perto;8
perto.;8
pessoal;8
pintou;8
PINTOU!!!;8
pior;8
pistola!;8
plenamente.;8
Por;8
porcaria;8
porque;8
possível.;8
povo;8
pra;8
praticamente;8
preconceito;8
prejudicado;8
presteza;8
prime;8
prêmio,;8
processando,;8
processaram;8
promoção;8
promoção!;8
próximo;8
qualquer;8
quando;8
Quando;8
quase!;8
Que;8
quebrado;8
quem;8
Quem;8
querem;8
quero;8
ralo;8
real;8
redundante;8
reparei;8
Resolve;8
resolver;8
rica;8
risco;8
rodo;8
Ronaldo;8
rsrsrsrs.;8
Rulez!;8
sabe;8
Sair;8
Segundo;8
seja;8
sejam;8
Sem;8
sempre;8
ser;8
será;8
serio;8
serviço;8
Sim,;8
sistema;8
sistema!.;8
são;8
São;8
soltou;8
solucionar;8
SOMAZINA;8
sorte;8
sorte...;8
sorteado;8
sorteado?;8
sorteio!;8
sorteios;8
sortuda!;8
sortudo.Ganhei!;8
SP!;8
SP!!!!;8
SP.;8
tá;8
ta;8
também;8
também!;8
também?;8
tarde.;8
tenho;8
tentei.;8
terminar;8
ótima;8
tiver;8
tivessem;8
to;8
todos;8
top;8
TOP.;8
Torcendo;8
trabalhei;8
trabalho;8
Trapaça!;8
troféus;8
tudo;8
Tweeter;8
Ui!;8
Vai;8
Valadares;8
Valadares/MG.;8
VALENCIA;8
Vc;8
vcs,;8
veio;8
vem;8
video;8
vindo;8
vindos;8
vocês!;8
Vocês;8
vou;8
ZAP;8
4,76E+17;7
4,76E+17;7
Vi_Wolf_King;7
4,76E+17;6
595;6
acurrucados;6
bailar;6
Banco;6
Central;6
chocó;6
ciudad;6
comerse;6
Compró;6
Doña;6
dormirse;6
dos;6
el;6
empezaba;6
enamorados;6
espada;6
La;6
león;6
Llegó;6
llorar;6
madera;6
Manolita;6
marymcnamara;6
Mudo;6
pasar;6
payaso;6
_pierregiovanni;6
Quiso;6
sacarla;6
sombra;6
su;6
suerte;6
vals;6
zapatos;6
aintnoswayze;5
DaliaBak;5
jenmcunningham;5
Neil_Stewart_1;5
SirRotalot;5
4,73E+17;4
4,74E+17;4
4,74E+17;4
4,76E+17;4
Drupal_Guru;4
keialomar;4
MikeKelley8;4
SinSex_London;4
é;3
4,73E+17;3
4,73E+17;3
4,73E+17;3
4,74E+17;3
4,74E+17;3
4,74E+17;3
4,75E+17;3
4,75E+17;3
4,75E+17;3
4,75E+17;3
4,76E+17;3
4,76E+17;3
4,76E+17;3
4,76E+17;3
avgeekretweeter;3
bestjobsonline;3
BLeePond;3
CXAlert;3
GripeO_Feed;3
jimbull;3
kirtcarstens;3
mikejturk;3
olyhandro25;3
rachelkmb;3
rmhnyc;3
sabschin;3
tedreednc;3
wildert;3
00:29:34+00:00;2
05:10:22+00:00;2
08:05:54+00:00;2
15;2
15:41:44+00:00;2
20:10:13+00:00;2
20:54:30+00:00;2
21:31:33+00:00;2
21:31:49+00:00;2
4,73E+17;2
4,73E+17;2
4,73E+17;2
4,73E+17;2
4,73E+17;2
4,73E+17;2
4,73E+17;2
4,73E+17;2
4,73E+17;2
4,73E+17;2
4,73E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,74E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,75E+17;2
4,76E+17;2
4,76E+17;2
4,76E+17;2
4,76E+17;2
4,76E+17;2
4,76E+17;2
4,76E+17;2
4,76E+17;2
4,76E+17;2
4,76E+17;2
4,76E+17;2
4,76E+17;2
4,76E+17;2
5;2
901;2
ajbfong;2
anala_y;2
Arabellam;2
ATWBAnderson;2
AvGeek359;2
#B757-200;2
BillSchember;2
camschorizo;2
CarInsuranceBox;2
CharlynKoga;2
ChiTown_Spartan;2
citybizedinburg;2
CrouseLaw;2
dallamjm;2
DominiqueBHPawn;2
eMoreMoneyForMe;2
EricaAdkins13;2
gbates12;2
iAmKYMARA;2
Jeff_Holeman;2
JoeFauth;2
johnlmurphy;2
juicylovemexo;2
JustConcierge;2
kacw;2
KEVELAIR;2
lefty1;2
LGDuPlain;2
loricarper;2
MARosmarin;2
mbakerafc;2
MidlinkTravel;2
MINlONS;2
mphcoach;2
NinkiCZ;2
OctavioEspinal;2
papajoeatx;2
phenomeNELLE;2
Red7Holidays;2
Red7Honeymoon;2
rolfester;2
SarahLin1;2
sforetweet;2
StevenDickens3;2
SwizzleDeals;2
VMediaPro;2
warrenjacob;2
WMGdmcs;2
YaDaChef;2
yortkrause;2
É;1
É;1
É;1
É;1
É;1
É;1
É;1
É;1
00:01:34+00:00;1
00:01:55+00:00;1
00:04:39+00:00;1
00:04:44+00:00;1
00:04:58+00:00;1
00:08:39+00:00;1
00:09:18+00:00;1
00:11:01+00:00;1
00:11:33+00:00;1
00:13:24+00:00;1
00:14:36+00:00;1
00:15:02+00:00;1
00:15:17+00:00;1
00:16:06+00:00;1
00:19:13+00:00;1
00:20:37+00:00;1
00:21:07+00:00;1
00:22:09+00:00;1
00:24:30+00:00;1
00:27:38+00:00;1
00:28:01+00:00;1
00:28:52+00:00;1
00:29:11+00:00;1
00:30:05+00:00;1
00:46:23+00:00;1
00:47:41+00:00;1
00:48:59+00:00;1
00:49:00+00:00;1
00:49:32+00:00;1
00:51:57+00:00;1
00:54:14+00:00;1
00:56:45+00:00;1
00:57:30+00:00;1
00:57:35+00:00;1
01:02:13+00:00;1
01:05:30+00:00;1
01:07:08+00:00;1
01:09:23+00:00;1
01:10:53+00:00;1
01:12:21+00:00;1
01:12:50+00:00;1
01:14:01+00:00;1
01:14:07+00:00;1
01:14:38+00:00;1
01:16:04+00:00;1
01:16:34+00:00;1
01:17:06+00:00;1
01:17:26+00:00;1
01:19:07+00:00;1
01:19:46+00:00;1
01:20:26+00:00;1
01:25:44+00:00;1
01:27:10+00:00;1
